职位名称,职位标签,工作地区,薪资,公司名称,公司规模,工作类型
运营总监（矿）-外派,"['10年以上', '大专', '管理', '财务', '行政管理', '管理体系', '战略管理', '降本增效', '生产运营管理', '采矿', '采矿工程', '人事安排']",北京·朝阳区,3.5-4万,多弗国际控股集团有限公司,10000人以上,多元化业务集团公司
矿物加工室主任,"['3-4年', '本科', '选矿', '球团', '试验', '研究', '五险一金']",黄石,8千-1.3万,武汉开圣科技有限责任公司,50-150人,石油/化工/矿产/地质
选矿工程师(J11057),"['无需经验', '硕士', '矿业工程', '矿物加工工程', '五险一金', '员工旅游']",宜春,1-1.4万·13薪,国轩高科股份有限公司,10000人以上,新能源
锂矿选矿技术工程师,"['3-4年', '大专', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '通讯补贴']",湖州·长兴县,1-2万,长兴天赢进出口有限公司,10000人以上,新能源
中青年博士/博士后,"['无需经验', '博士', '加班补贴', '免费班车', '周末双休', '节日福利', '五险一金', '绩效奖金']",西安·长安区,20-30万/年,西安科技大学高新学院,500-1000人,教育/培训/院校
工程地质技术员,"['无需经验', '本科', '工程地质', '绩效奖金', '节日福利', '餐饮补贴', '五险一金', '交通补贴', '通讯补贴', '年终奖金', '出国机会', '员工旅游']",北京·海淀区,1.2-2万,中澳恒基科技有限公司,150-500人,建筑/建材/工程
地质工程师,"['无需经验', '本科']",重庆·渝中区,6-12万/年,重庆美高科技有限公司,50-150人,多元化业务集团公司
地质油藏工程师,"['2年', '本科', '地质油藏师', '石油工程', '五险一金', '定期体检', '年终奖金', '绩效奖金', '包吃包住']",惠州·大亚湾区,1.5-2.5万,中润石油技术（深圳）有限公司,10000人以上,专业服务(咨询、人力资源、财会)
矿山地质工程师,"['8-9年', '大专', '计算机', '地质勘察', '地质', '国粤语', '地质资料', '石英石', '专业培训', '定期体检']",佛山·禅城区,2-3万,广东新中源陶瓷有限公司,1000-5000人,快速消费品(食品、饮料、化妆品)
砂石骨料矿山管理岗-骨料基地,"['5-7年', '本科', '机械', '机电', '安全', '工艺', '带队', '土地', '采矿', '矿山开采', '施工设计', '绩效奖金', '定期体检', '六险二金', '专业培训']",肇庆,1.5-3万·15薪,华润水泥投资有限公司,10000人以上,建筑/建材/工程
造价工程师（矿山井建方向）,"['5-7年', '本科', '采矿', '选矿', '地下矿山造价', '五险一金', '餐饮补贴', '定期体检', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权']",新余,1-1.5万,江西赣锋锂业集团股份有限公司,1000-5000人,石油/化工/矿产/地质
